Country,Income Lvl,Country Code,Lat,Lng,Region
Tajikistan,Low income,TJK,38.5878,68.7864,Europe & Central Asia
Turkmenistan,Upper middle income,TKM,37.9509,58.3794,Europe & Central Asia
Timor-Leste,Lower middle income,TLS,-8.56667,125.567,East Asia & Pacific
Tonga,Upper middle income,TON,-21.136,-175.216,East Asia & Pacific
Trinidad and Tobago,High income,TTO,10.6596,-61.4789,Latin America & Caribbean 
Tunisia,Lower middle income,TUN,36.7899,10.21,Middle East & North Africa
Turkey,Upper middle income,TUR,39.7153,32.3606,Europe & Central Asia
Tuvalu,Upper middle income,TUV,-8.6314877,179.089567,East Asia & Pacific
"Taiwan, China",High income,TWN,,,East Asia & Pacific
Tanzania,Lower middle income,TZA,-6.17486,35.7382,Sub-Saharan Africa 
Uganda,Low income,UGA,0.314269,32.5729,Sub-Saharan Africa 
Ukraine,Lower middle income,UKR,50.4536,30.5038,Europe & Central Asia
Uruguay,High income,URY,-34.8941,-56.0675,Latin America & Caribbean 
United States,High income,USA,38.8895,-77.032,North America
Uzbekistan,Lower middle income,UZB,41.3052,69.269,Europe & Central Asia
St. Vincent and the Grenadines,Upper middle income,VCT,13.2035,-61.2653,Latin America & Caribbean 
"Venezuela, RB",Upper middle income,VEN,9.08165,-69.8371,Latin America & Caribbean 
British Virgin Islands,High income,VGB,18.431389,-64.623056,Latin America & Caribbean 
Virgin Islands (U.S.),High income,VIR,18.3358,-64.8963,Latin America & Caribbean 
Vietnam,Lower middle income,VNM,21.0069,105.825,East Asia & Pacific
Vanuatu,Lower middle income,VUT,-17.7404,168.321,East Asia & Pacific
Samoa,Upper middle income,WSM,-13.8314,-171.752,East Asia & Pacific
Kosovo,Upper middle income,XKX,42.565,20.926,Europe & Central Asia
"Yemen, Rep.",Low income,YEM,15.352,44.2075,Middle East & North Africa
South Africa,Upper middle income,ZAF,-25.746,28.1871,Sub-Saharan Africa 
Zambia,Lower middle income,ZMB,-15.3982,28.2937,Sub-Saharan Africa 
Zimbabwe,Lower middle income,ZWE,-17.8312,31.0672,Sub-Saharan Africa 
